Survey ID number:Please enter your 4-digit Survey ID number below,ID,Gender,Ethnic,PTJob,CigsOk,AlcOk,MariOk,DrugsBad,SchoolPercept,PhysActive,ContWorkSmok,ContWorkDrink,WorkerSmoke,WorkerDrink,WorkQuitSmoke,WorkQuitDrink,ContPersSmoke,ContPersDrink,PersonSmoke,PersonDrink,PosSmoke,Pos Drink,OtherMaleSmok,FatherSmoke,MotherSmoke,OtherFemSmok,BroSmoke,SisSmoke,Adult Smoke,Sibling Smoke,FemaleSmoke,MaleSmoke,FemQuitSmok,MaleQuitSmok,SibQuitSmoke,FatherSmoke1,MotherSmoke1,BroSmoke1,SisSmoke1,OtherMaleSmok1,OtherFemSmok1,FemaleDrink,MaleDrink,SiblingDrink,FemQuitDrink,MaleQuitDrink,SibQuitDrink,FatherDrink1,MaleDrink1,FemDrink1,MotherDrink1,OldBroDrink1,OldSisDrink1,FatherQuitD,MaleQuitD,MomQuitD,FemaleQuitD,BroQuitD,SisQuitD
1061,25,1,3,1,1,2,1,1,34,83,1,1,1,1,1,1,1,3,1,2,1,2,1,2,1,1,2,1,2,2,1,2,1,1,1,3,1,2,1,1,1,1,1,2,1,2,2,1,1,1,1,2,1,2,1,1,1,2,1
1073,26,1,4,1,1,1,1,2,50,50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1087,27,2,2,2,1,2,1,1,101,101,101,100,2,2,2,2,1,4,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1083,28,1,4,1,1,1,1,2,97,101,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1083,29,1,4,1,1,1,1,2,101,101,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1027,30,2,3,1,1,1,1,2,86,91,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1031,31,1,3,1,1,1,2,1,49,101,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,1,2,1,2,2,2,2,1,3,1,1,1,1,2,2,2,1,2,2,1,3,2,2,2,1,1,1,2,2,2,1,1
1057,32,1,4,1,1,1,1,1,50,50,1,1,1,1,1,1,2,2,2,2,2,1,1,2,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1044,33,2,4,2,1,1,1,2,82,82,46,46,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,3,3,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
1034,34,2,4,1,1,1,1,2,51,100,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1051,35,1,3,1,1,1,1,2,101,98,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,2,2,1,1,1,1,3,1,1,3,1,2,2,1,1,1,1,1,3,1,2,1,1,1,1,1,1,1,1
1048,36,2,4,2,1,1,1,2,49,96,12,10,2,2,1,1,3,4,2,2,2,2,1,1,1,1,2,1,1,2,1,1,2,1,1,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
1054,37,1,4,1,1,1,1,2,85,101,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2,1,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2
1053,38,1,3,1,1,1,1,2,48,77,1,1,1,1,1,1,1,3,1,2,1,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,3,1,1,2,1,2,2,1,1,1,1,2,1,1,2,1,1,1,2,1,1
1038,39,1,4,1,1,1,1,2,88,91,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,1,1,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,2,1,2,2,1,2,1,1,1,1,1,2,1,2,1,1,1
1049,40,1,2,1,1,1,1,2,101,101,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1036,41,1,2,1,2,2,1,1,49,96,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,1,2,2,1,2,1,3,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1
1057,42,1,4,1,1,1,1,2,101,100,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,2,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1052,43,2,4,1,1,1,1,2,84,101,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1050,44,2,1,1,1,1,1,2,63,39,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,1,1,1,3,1,1,1,1,1,2,2,2,2,1,1,2,1,1,2,2,1,1,1,2,1,1,1
1041,45,1,1,1,1,1,1,1,50,50,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1059,46,1,2,1,1,1,1,2,72,101,1,1,1,1,1,1,1,4,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,1,2,1,2,1
1052,47,2,4,1,1,1,1,2,101,101,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1046,48,2,4,1,1,1,1,2,101,101,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2,1,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,1,3,1,1,1,1,1,2
1035,49,2,3,1,1,1,1,2,97,97,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,2,2,2,1,1,1,2,3,1,2,1,1,2,2,2,1,1,1,2,1,1,2,2,2,1,1,1,1,1,1
1034,50,2,4,1,1,1,1,2,101,101,51,101,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,2,1,1,3,1,1,1,1,1,2,1
1041,51,1,1,1,1,1,1,2,51,51,1,1,1,1,1,1,4,2,2,2,2,2,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
1057,52,1,4,1,1,1,1,2,101,101,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,1,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
